"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"1";"";"10-XX";"B3F-10XX";"S2";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"";
"1";"";"PINHD-1X2";"1X02";"JP2";"PIN HEADER";"";"";"";"";"";
"1";"";"PINHD-1X4";"1X04";"JP4";"PIN HEADER";"";"";"";"";"";
"2";"";"PINHD-1X6";"1X06";"JP1, JP3";"PIN HEADER";"";"";"";"";"";
"2";"";"RESISTOR0603-RES";"0603-RES";"R9, R10";"Resistor";"";"";"";"";"";
"4";"0.1uF";"CAP0603-CAP";"0603-CAP";"C3, C7, C8, C9";"Capacitor";"";"";"";"";"";
"1";"100n";"C-EUC0805K";"C0805K";"C6";"CAPACITOR, European symbol";"";"";"";"";"C";
"2";"10K";"RESISTOR0603-RES";"0603-RES";"R1, R6";"Resistor";"";"";"";"";"";
"4";"10k";"R-US_0204/7";"0204/7";"R3, R4, R5, R7";"RESISTOR, American symbol";"";"";"";"";"R";
"2";"10uF";"CAP_POL1206";"EIA3216";"C1, C2";"Capacitor Polarized";"";"";"";"";"";
"1";"1M";"R-US_0204/7";"0204/7";"R2";"RESISTOR, American symbol";"";"";"";"";"R";
"1";"1n";"C-EUC0805K";"C0805K";"C5";"CAPACITOR, European symbol";"";"";"";"";"C";
"1";"1u";"CPOL-EUE2-5";"E2-5";"C4";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"C";
"1";"330";"RESISTOR0603-RES";"0603-RES";"R8";"Resistor";"";"";"";"";"";
"1";"8/16/20MHz";"RESONATOR1:1";"RESONATOR-SMD-1:1";"Y1";"Resonator";"";"";"";"";"";
"1";"ACS712";"ACS712";"SO08";"IC1";"";"";"";"";"";"";
"1";"ATMEGA328";"ATMEGA168";"TQFP32-08";"U2";"";"";"";"";"";"";
"2";"FIDUCIAL1X2.5";"FIDUCIAL1X2.5";"FIDUCIAL-1X2.5";"JP5, JP6";"Fiducial Alignment Points";"";"";"";"";"";
"1";"Green";"LED";"0603-LED-ALT1";"LED2";"LEDs";"";"";"";"";"";
"1";"MIC5205";"V_REG_LDOSMD";"SOT23-5";"U1";"Voltage Regulator LDO";"";"";"";"";"";
"4";"MOUNT-PAD-SQUARE3.3";"MOUNT-PAD-SQUARE3.3";"3,3-PAD-SQUARE";"H1, H2, H3, H4";"MOUNTING PAD, square";"";"";"";"";"";
"1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"U$5";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";"";
"1";"Red";"LED";"0603-LED-ALT1";"LED1";"LEDs";"";"";"";"";"";
"1";"Reset";"SWITCH-MOMENTARY-2SMD-ALT01";"TACTILE-SWITCH-SMD-ALT01";"S1";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";
